genre,id,youtube_link
documentary,1,https://www.youtube.com/watch?v=23BGbVBxXdQ&list=PLzkQfVIJun2JiMRQzj6dBPClH0r5kDPIF&index=8
documentary,2,documentary/2/Can Dogs Talk？ ｜ Full Documentary ｜ NOVA ｜ PBS-jfLAaGtNc7U.mp4
film,1,https://www.youtube.com/watch?v=kmYcT5gT6a4
film,2,https://www.youtube.com/watch?v=UhSP0ldQnuk
lecture,1,https://www.youtube.com/watch?v=wvXDB9dMdEo
lecture,2,https://www.youtube.com/watch?v=0sKPkJME2Jw
news,1,https://www.youtube.com/watch?v=tX80LkEqytg
news,2,https://www.youtube.com/watch?v=fbgQG61Irvs
vlog,1,https://www.youtube.com/watch?v=n2YNMJShKKA
vlog,2,https://www.youtube.com/watch?v=Tn7CL9rL27I